SetNo,GameNo,PointNumber,ServerGamesWon,ReceiverGamesWon,ServerScore,ReceiverScore,ServerPointsWon,ReceiverPointsWon,ServerMomentum,ReceiverMomentum,ServerSetsWon,ReceiverSetsWon,GameDiff,SetDiff,PointDiff,MomentumDiff,IsBreakPoint,SetPressure,IsSecondServe,ServerWon
3,7,154,2,4,2,2,67,86,41,145,0,2,-2,-2,-19,-104,0,2,1,1
1,10,52,5,4,3,0,26,25,64,53,0,0,1,0,1,11,0,1,0,1
1,7,37,4,2,0,0,21,15,35,10,0,0,2,0,6,25,0,2,0,1
1,4,26,3,0,1,0,16,9,32,1,0,0,3,0,7,31,0,3,1,0
2,7,95,3,3,2,2,52,42,87,31,1,0,0,1,10,56,0,3,1,1
2,5,67,1,3,0,0,23,43,11,98,0,1,-2,-1,-20,-87,0,3,1,1
3,11,189,5,5,4,3,94,94,184,169,1,1,0,0,0,15,0,1,1,1
3,8,189,4,3,3,3,105,83,180,68,2,0,1,2,22,112,0,2,0,0
3,13,254,6,6,3,2,132,121,168,126,2,0,0,2,11,42,0,0,1,1
1,7,36,4,2,0,0,20,15,30,1,0,0,2,0,5,29,0,2,1,0
1,8,48,3,4,2,0,24,23,42,43,0,0,-1,0,1,-1,0,2,1,1
1,8,47,3,4,1,1,20,26,20,43,0,0,-1,0,-6,-23,0,2,0,1
2,7,105,3,3,4,3,48,56,50,88,0,1,0,-1,-8,-38,0,3,1,0
1,6,29,3,2,0,0,14,14,22,11,0,0,1,0,0,11,0,3,1,1
2,10,121,4,5,1,1,54,66,55,106,0,1,-1,-1,-12,-51,0,1,0,1
2,7,95,3,3,2,0,51,43,77,24,1,0,0,1,8,53,0,3,0,1
1,7,40,3,3,3,2,20,19,19,30,0,0,0,0,1,-11,0,3,1,1
1,12,78,6,5,3,2,39,38,66,47,0,0,1,0,1,19,0,0,0,1
4,6,183,1,4,1,0,78,104,78,189,1,2,-3,-1,-26,-111,0,2,1,1
2,4,85,3,0,3,3,49,35,86,31,1,0,3,1,14,55,0,3,1,1
2,8,114,3,4,1,0,53,60,64,101,0,1,-1,-1,-7,-37,0,2,1,1
2,5,71,2,2,3,4,27,43,23,85,0,1,0,-1,-16,-62,1,4,1,1
3,8,171,3,4,3,3,76,94,65,157,0,2,-1,-2,-18,-92,0,2,1,1
2,6,98,2,3,0,0,48,49,64,62,1,0,-1,1,-1,2,0,3,1,1
4,1,215,0,0,1,1,103,111,102,148,1,2,0,-1,-8,-46,0,6,1,0
4,5,240,1,3,0,0,114,125,109,173,1,2,-2,-1,-11,-64,0,3,1,1
2,8,95,5,2,2,1,56,38,115,26,1,0,3,1,18,89,0,1,0,1
4,5,206,4,0,2,1,108,97,150,125,1,2,4,-1,11,25,0,2,0,1
3,3,173,2,0,0,0,85,87,114,121,1,1,2,0,-2,-7,0,4,0,1
2,6,81,2,3,3,0,42,38,73,37,1,0,-1,1,4,36,0,3,1,1
2,2,65,0,1,1,1,36,28,53,18,1,0,-1,1,8,35,0,5,0,1
3,11,224,5,5,3,4,107,116,168,217,0,2,0,-2,-9,-49,1,1,1,0
2,6,92,5,0,0,0,54,37,100,7,1,0,5,1,17,93,0,1,0,1
2,9,111,4,4,3,3,56,54,102,78,1,0,0,1,2,24,0,2,0,1
1,7,39,2,4,0,1,17,21,16,24,0,0,-2,0,-4,-8,0,2,1,0
2,5,108,3,1,3,2,60,47,115,58,1,0,2,1,13,57,0,3,1,1
1,3,13,1,1,1,0,7,5,15,11,0,0,0,0,2,4,0,5,1,1
2,6,113,3,2,2,1,58,54,95,62,1,0,1,1,4,33,0,3,1,1
